provinsi,kabkota,nama,kode_wilayah,total_pd,total_pd_laki,total_pd_perempuan,tk_pd,tk_pd_laki,tk_pd_perempuan,kb_pd,kb_pd_laki,kb_pd_perempuan,tpa_pd,tpa_pd_laki,tpa_pd_perempuan,sps_pd,sps_pd_laki,sps_pd_perempuan,pkbm_pd,pkbm_pd_laki,pkbm_pd_perempuan,skb_pd,skb_pd_laki,skb_pd_perempuan,sma_pd,sma_pd_laki,sma_pd_perempuan,smk_pd,smk_pd_laki,smk_pd_perempuan,slb_pd,slb_pd_laki,slb_pd_perempuan,sd_pd,sd_pd_laki,sd_pd_perempuan,smp_pd,smp_pd_laki,smp_pd_perempuan
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Selatan,022216,99150,50159,48991,5613,2825,2788,1554,834,720,85,44,41,633,330,303,1799,1012,787,0,0,0,14495,6011,8484,9755,5673,4082,241,145,96,42666,21926,20740,22309,11359,10950
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Utara,022220,62409,32085,30324,3514,1782,1732,938,465,473,52,31,21,75,29,46,894,554,340,0,0,0,5825,2664,3161,4960,2569,2391,0,0,0,33605,17478,16127,12546,6513,6033
Prov. Jawa Barat,Kab. Bekasi,Kec. Babelan,022209,56286,28094,28192,3781,1941,1840,1469,773,696,0,0,0,32,17,15,695,425,270,0,0,0,5238,2209,3029,6837,3266,3571,0,0,0,26862,13797,13065,11372,5666,5706
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Barat,022218,47864,25817,22047,1852,969,883,972,524,448,55,31,24,0,0,0,987,561,426,539,305,234,2609,1043,1566,9648,6232,3416,115,76,39,23285,12051,11234,7802,4025,3777
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibitung,022207,45664,23425,22239,4530,2320,2210,1519,790,729,39,19,20,84,45,39,692,425,267,0,0,0,2086,761,1325,3195,1945,1250,30,20,10,24342,12480,11862,9147,4620,4527
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Selatan,022221,44958,22654,22304,3368,1737,1631,772,383,389,15,8,7,98,47,51,447,259,188,0,0,0,3361,1274,2087,4408,2596,1812,0,0,0,24367,12318,12049,8122,4032,4090
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Utara,022217,40513,20680,19833,2801,1488,1313,465,235,230,0,0,0,200,108,92,247,195,52,0,0,0,3053,1101,1952,3116,1816,1300,119,77,42,22352,11510,10842,8160,4150,4010
Prov. Jawa Barat,Kab. Bekasi,Kec. Setu,022201,40492,21118,19374,2813,1437,1376,1115,568,547,49,22,27,86,45,41,872,536,336,0,0,0,2701,1110,1591,4310,2574,1736,0,0,0,20748,10636,10112,7798,4190,3608
Prov. Jawa Barat,Kab. Bekasi,Kec. Serang Baru,022227,37214,19248,17966,3305,1687,1618,1018,521,497,15,6,9,233,121,112,25,14,11,0,0,0,1802,745,1057,884,560,324,164,103,61,23500,12250,11250,6268,3241,3027
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibarusah,022203,29348,15172,14176,1245,631,614,834,459,375,0,0,0,35,14,21,629,425,204,0,0,0,2812,1070,1742,5246,3016,2230,31,19,12,12247,6323,5924,6269,3215,3054
Prov. Jawa Barat,Kab. Bekasi,Kec. Taruma Jaya,022210,26846,14082,12764,1837,960,877,526,250,276,0,0,0,24,13,11,207,108,99,0,0,0,2040,906,1134,3055,1933,1122,0,0,0,14359,7516,6843,4798,2396,2402
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukatani,022212,24358,12372,11986,1328,669,659,233,114,119,0,0,0,0,0,0,0,0,0,0,0,0,2533,956,1577,3080,1876,1204,0,0,0,13519,6926,6593,3665,1831,1834
Prov. Jawa Barat,Kab. Bekasi,Kec. Karang Bahagia,022219,24058,12624,11434,1823,945,878,794,390,404,0,0,0,34,16,18,90,72,18,0,0,0,1266,491,775,2761,1765,996,0,0,0,13538,7031,6507,3752,1914,1838
Prov. Jawa Barat,Kab. Bekasi,Kec. Pebayuran,022213,20962,10858,10104,350,178,172,932,482,450,0,0,0,373,176,197,68,41,27,0,0,0,1960,995,965,1362,806,556,0,0,0,11898,6093,5805,4019,2087,1932
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Timur,022222,19289,9829,9460,1067,539,528,528,280,248,0,0,0,191,95,96,130,98,32,0,0,0,1193,437,756,966,658,308,0,0,0,10625,5410,5215,4589,2312,2277
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Pusat,022224,17810,9670,8140,1056,557,499,455,249,206,0,0,0,0,0,0,72,37,35,0,0,0,2523,1067,1456,3420,2374,1046,0,0,0,7872,4060,3812,2412,1326,1086
Prov. Jawa Barat,Kab. Bekasi,Kec. Kedung Waringin,022205,17608,9017,8591,943,441,502,390,223,167,0,0,0,111,64,47,229,139,90,0,0,0,1158,414,744,1644,976,668,0,0,0,9568,4930,4638,3565,1830,1735
Prov. Jawa Barat,Kab. Bekasi,Kec. Cabangbungin,022214,12493,6323,6170,641,313,328,946,462,484,19,9,10,231,129,102,0,0,0,0,0,0,1292,506,786,1394,791,603,0,0,0,5483,2812,2671,2487,1301,1186
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukawangi,022226,10820,5530,5290,820,417,403,351,155,196,0,0,0,231,115,116,172,124,48,0,0,0,940,419,521,559,322,237,0,0,0,5492,2840,2652,2255,1138,1117
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambelang,022211,10349,5287,5062,255,140,115,554,286,268,0,0,0,0,0,0,218,139,79,0,0,0,925,363,562,1572,836,736,0,0,0,4572,2412,2160,2253,1111,1142
Prov. Jawa Barat,Kab. Bekasi,Kec. Sukakarya,022225,9794,5161,4633,347,168,179,161,80,81,0,0,0,11,6,5,150,109,41,0,0,0,1032,399,633,1110,727,383,0,0,0,5046,2628,2418,1937,1044,893
Prov. Jawa Barat,Kab. Bekasi,Kec. Muara Gembong,022215,7566,3914,3652,190,98,92,497,248,249,0,0,0,0,0,0,158,109,49,0,0,0,1115,542,573,352,221,131,0,0,0,3951,2015,1936,1303,681,622
Prov. Jawa Barat,Kab. Bekasi,Kec. Bojong Mangu,022223,4980,2585,2395,35,17,18,455,243,212,0,0,0,0,0,0,223,165,58,0,0,0,826,364,462,164,115,49,0,0,0,2545,1305,1240,732,376,356
Prov. Jawa Barat,Kab. Bandung,Kec. Baleendah,020814,56045,28473,27572,1872,957,915,1800,952,848,57,34,23,247,120,127,978,610,368,243,129,114,4867,2129,2738,7270,3717,3553,101,59,42,27921,14313,13608,10689,5453,5236
Prov. Jawa Barat,Kab. Bandung,Kec. Rancaekek,020811,40381,20827,19554,1632,859,773,1551,781,770,0,0,0,454,230,224,808,453,355,0,0,0,3505,1551,1954,4237,2543,1694,199,126,73,19308,9769,9539,8687,4515,4172
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,020813,36413,18530,17883,1002,499,503,890,468,422,0,0,0,675,334,341,2001,1166,835,0,0,0,5344,2530,2814,1165,568,597,334,201,133,16476,8510,7966,8526,4254,4272
Prov. Jawa Barat,Kab. Bandung,Kec. Cileunyi,020824,34120,17530,16590,2067,1135,932,859,454,405,32,15,17,68,42,26,1473,871,602,0,0,0,3030,1324,1706,1363,634,729,422,256,166,17054,8783,8271,7752,4016,3736
Prov. Jawa Barat,Kab. Bandung,Kec. Majalaya,020812,32837,16859,15978,1008,480,528,1065,537,528,0,0,0,373,174,199,591,343,248,0,0,0,3807,1672,2135,4689,2700,1989,157,96,61,15808,8109,7699,5339,2748,2591
Prov. Jawa Barat,Kab. Bandung,Kec. Banjaran,020816,30244,15407,14837,898,466,432,663,345,318,0,0,0,1125,585,540,589,368,221,0,0,0,4659,2074,2585,3023,1713,1310,92,61,31,12065,6172,5893,7130,3623,3507
Prov. Jawa Barat,Kab. Bandung,Kec. Cicalengka,020810,29917,15096,14821,1184,616,568,1404,708,696,0,0,0,362,192,170,203,128,75,0,0,0,5023,2303,2720,2696,1411,1285,177,119,58,13391,6866,6525,5477,2753,2724
Prov. Jawa Barat,Kab. Bandung,Kec. Paseh,020808,29539,15227,14312,623,330,293,1953,987,966,0,0,0,24,11,13,2119,1150,969,0,0,0,1013,486,527,3628,1917,1711,112,69,43,14015,7254,6761,6052,3023,3029
Prov. Jawa Barat,Kab. Bandung,Kec. Pangalengan,020804,29413,14991,14422,563,293,270,1545,800,745,0,0,0,586,282,304,1236,699,537,0,0,0,2947,1387,1560,2191,1161,1030,81,52,29,15229,7844,7385,5035,2473,2562
Prov. Jawa Barat,Kab. Bandung,Kec. Katapang,020818,26192,13457,12735,1418,729,689,1082,548,534,0,0,0,378,165,213,490,277,213,0,0,0,1461,595,866,3326,1885,1441,134,75,59,13331,6879,6452,4572,2304,2268
Prov. Jawa Barat,Kab. Bandung,Kec. Margahayu,020821,25878,13127,12751,1185,626,559,273,143,130,0,0,0,306,161,145,454,290,164,0,0,0,2997,1213,1784,2247,1400,847,250,163,87,11748,5986,5762,6418,3145,3273
Prov. Jawa Barat,Kab. Bandung,Kec. Soreang,020819,25392,12780,12612,1155,600,555,582,306,276,0,0,0,262,126,136,289,178,111,0,0,0,3265,1331,1934,3934,2097,1837,382,238,144,11297,5799,5498,4226,2105,2121
Prov. Jawa Barat,Kab. Bandung,Kec. Arjasari,020815,23833,12083,11750,724,356,368,991,492,499,0,0,0,669,347,322,1403,789,614,0,0,0,2478,1096,1382,1562,908,654,46,29,17,11830,5985,5845,4130,2081,2049
Prov. Jawa Barat,Kab. Bandung,Kec. Pacet,020806,22224,11250,10974,828,401,427,1662,864,798,0,0,0,377,174,203,1019,547,472,0,0,0,514,234,280,1021,449,572,0,0,0,11488,5897,5591,5315,2684,2631
Prov. Jawa Barat,Kab. Bandung,Kec. Dayeuhkolot,020822,21856,11628,10228,378,222,156,448,241,207,0,0,0,268,152,116,468,301,167,0,0,0,2625,1213,1412,2049,1414,635,77,50,27,10692,5538,5154,4851,2497,2354
Prov. Jawa Barat,Kab. Bandung,Kec. Margaasih,020820,20616,10306,10310,1108,549,559,723,396,327,0,0,0,123,64,59,403,224,179,0,0,0,2166,909,1257,130,64,66,163,115,48,11599,5937,5662,4201,2048,2153
Prov. Jawa Barat,Kab. Bandung,Kec. Ciwidey,020801,19524,9778,9746,552,277,275,1177,600,577,0,0,0,904,438,466,324,216,108,0,0,0,3074,1334,1740,1827,918,909,0,0,0,8722,4530,4192,2944,1465,1479
Prov. Jawa Barat,Kab. Bandung,Kec. Bojongsoang,020823,18168,9391,8777,1209,621,588,637,343,294,35,20,15,614,315,299,502,313,189,0,0,0,1305,586,719,436,239,197,107,64,43,10269,5311,4958,3054,1579,1475
Prov. Jawa Barat,Kab. Bandung,Kec. Cimenyan,020826,17985,9302,8683,917,457,460,1530,782,748,17,11,6,59,22,37,404,181,223,0,0,0,284,124,160,193,98,95,62,29,33,10840,5642,5198,3679,1956,1723
Prov. Jawa Barat,Kab. Bandung,Kec. Kutawaringin,020833,17804,8948,8856,450,215,235,1564,771,793,0,0,0,114,61,53,462,267,195,0,0,0,455,201,254,377,137,240,54,35,19,10916,5600,5316,3412,1661,1751
Prov. Jawa Barat,Kab. Bandung,Kec. Ibun,020807,17782,9189,8593,513,283,230,1284,674,610,0,0,0,179,99,80,512,303,209,0,0,0,1105,530,575,1907,1071,836,50,35,15,8729,4460,4269,3503,1734,1769
Prov. Jawa Barat,Kab. Bandung,Kec. Cikancung,020809,17589,9042,8547,610,330,280,374,180,194,0,0,0,451,231,220,1230,730,500,0,0,0,1393,583,810,183,115,68,0,0,0,10666,5532,5134,2682,1341,1341
Prov. Jawa Barat,Kab. Bandung,Kec. Solokanjeruk,020831,17384,8725,8659,655,333,322,417,219,198,0,0,0,350,169,181,335,204,131,0,0,0,1580,641,939,1086,518,568,71,45,26,9198,4698,4500,3692,1898,1794
Prov. Jawa Barat,Kab. Bandung,Kec. Pasirjambu,020802,16389,8421,7968,684,333,351,878,446,432,0,0,0,822,408,414,1168,617,551,0,0,0,342,174,168,535,316,219,96,64,32,8670,4496,4174,3194,1567,1627
Prov. Jawa Barat,Kab. Bandung,Kec. Cimaung,020803,16281,8198,8083,525,278,247,491,261,230,0,0,0,445,237,208,985,485,500,0,0,0,1293,529,764,632,417,215,100,66,34,8241,4193,4048,3569,1732,1837
Prov. Jawa Barat,Kab. Bandung,Kec. Pameungpeuk,020817,14783,7881,6902,405,196,209,926,463,463,0,0,0,131,70,61,919,543,376,0,0,0,836,448,388,702,430,272,93,58,35,7877,4143,3734,2894,1530,1364
Prov. Jawa Barat,Kab. Bandung,Kec. Kertasari,020805,13344,6713,6631,494,255,239,928,482,446,0,0,0,390,185,205,1047,551,496,0,0,0,1651,767,884,0,0,0,0,0,0,6760,3452,3308,2074,1021,1053
Prov. Jawa Barat,Kab. Bandung,Kec. Nagreg,020830,12027,6180,5847,391,190,201,451,216,235,0,0,0,51,25,26,270,155,115,0,0,0,1404,649,755,646,400,246,132,84,48,6355,3317,3038,2327,1144,1183
Prov. Jawa Barat,Kab. Bandung,Kec. Cangkuang,020832,11681,6071,5610,667,339,328,675,368,307,44,27,17,256,133,123,55,42,13,0,0,0,259,135,124,71,20,51,33,19,14,7387,3846,3541,2234,1142,1092
Prov. Jawa Barat,Kab. Bandung,Kec. Cilengkrang,020825,10287,5267,5020,703,360,343,537,271,266,0,0,0,260,134,126,486,237,249,0,0,0,339,175,164,928,503,425,0,0,0,5487,2778,2709,1547,809,738
Prov. Jawa Barat,Kab. Bandung,Kec. Rancabali,020829,9551,4896,4655,378,197,181,528,277,251,0,0,0,333,180,153,568,273,295,0,0,0,417,194,223,0,0,0,0,0,0,5166,2709,2457,2161,1066,1095
Prov. Jawa Barat,Kab. Bogor,Kec. Cibinong,020521,88270,45609,42661,3034,1583,1451,1912,1003,909,14,13,1,435,232,203,1798,1049,749,741,427,314,10904,4889,6015,14935,8302,6633,403,237,166,36922,19111,17811,17172,8763,8409
Prov. Jawa Barat,Kab. Bogor,Kec. Cileungsi,020518,77585,40286,37299,2773,1443,1330,2248,1194,1054,28,20,8,122,66,56,3092,1806,1286,0,0,0,4654,1912,2742,10828,6219,4609,140,88,52,38068,19566,18502,15632,7972,7660
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,020519,62077,32478,29599,2647,1379,1268,2080,1076,1004,0,0,0,570,291,279,3405,2130,1275,0,0,0,6225,2885,3340,3807,2270,1537,0,0,0,31241,16224,15017,12102,6223,5879
Prov. Jawa Barat,Kab. Bogor,Kec. Bojong Gede,020522,53213,27222,25991,2109,1059,1050,1762,863,899,15,9,6,264,136,128,2827,1600,1227,0,0,0,1871,870,1001,8954,4592,4362,0,0,0,25398,12949,12449,10013,5144,4869
Prov. Jawa Barat,Kab. Bogor,Kec. Citeureup,020520,42937,22132,20805,1007,531,476,2073,1024,1049,35,16,19,553,260,293,1653,1027,626,0,0,0,2512,916,1596,5822,3268,2554,0,0,0,20505,10507,9998,8777,4583,4194
Prov. Jawa Barat,Kab. Bogor,Kec. Kemang,020523,37849,19785,18064,921,482,439,1663,849,814,12,6,6,376,192,184,315,197,118,0,0,0,2699,1301,1398,8998,4964,4034,0,0,0,13889,7134,6755,8976,4660,4316
Prov. Jawa Barat,Kab. Bogor,Kec. Jonggol,020517,35568,18186,17382,491,241,250,2856,1465,1391,0,0,0,640,327,313,1477,908,569,0,0,0,5306,2452,2854,1610,913,697,0,0,0,14733,7522,7211,8455,4358,4097
Prov. Jawa Barat,Kab. Bogor,Kec. Cibungbulang,020504,35242,18602,16640,252,126,126,3177,1606,1571,0,0,0,1045,522,523,2279,1373,906,0,0,0,2711,1184,1527,3935,2332,1603,0,0,0,13072,6849,6223,8771,4610,4161
Prov. Jawa Barat,Kab. Bogor,Kec. Gunung Sindur,020525,33488,17307,16181,1440,779,661,2916,1499,1417,0,0,0,75,31,44,828,501,327,0,0,0,3696,1725,1971,2339,1378,961,0,0,0,15641,8050,7591,6553,3344,3209
Prov. Jawa Barat,Kab. Bogor,Kec. Pamijahan,020503,32558,17003,15555,172,94,78,3573,1855,1718,0,0,0,926,473,453,1259,642,617,0,0,0,3663,1844,1819,2629,1541,1088,0,0,0,13088,6729,6359,7248,3825,3423
Prov. Jawa Barat,Kab. Bogor,Kec. Rumpin,020526,32516,17137,15379,179,89,90,2575,1338,1237,0,0,0,101,44,57,1855,1129,726,0,0,0,2007,971,1036,1670,1032,638,0,0,0,18537,9539,8998,5592,2995,2597
Prov. Jawa Barat,Kab. Bogor,Kec. Ciampea,020505,31776,16576,15200,354,187,167,1611,826,785,0,0,0,556,282,274,1089,640,449,0,0,0,1361,536,825,5892,3148,2744,0,0,0,15397,8047,7350,5516,2910,2606
Prov. Jawa Barat,Kab. Bogor,Kec. Cigudeg,020527,31617,16713,14904,125,60,65,2840,1457,1383,0,0,0,949,505,444,5121,2795,2326,0,0,0,1495,690,805,1449,884,565,0,0,0,15144,7872,7272,4494,2450,2044
Prov. Jawa Barat,Kab. Bogor,Kec. Sukaraja,020513,30126,15806,14320,881,459,422,1602,845,757,0,0,0,758,418,340,1927,1014,913,0,0,0,1420,673,747,1776,1133,643,0,0,0,16335,8422,7913,5427,2842,2585
Prov. Jawa Barat,Kab. Bogor,Kec. Klapanunggal,020533,29965,15690,14275,1236,604,632,1234,600,634,0,0,0,478,253,225,1300,774,526,0,0,0,1066,403,663,3229,1932,1297,0,0,0,16782,8689,8093,4640,2435,2205
Prov. Jawa Barat,Kab. Bogor,Kec. Leuwiliang,020502,29600,15563,14037,597,303,294,1574,819,755,0,0,0,374,196,178,1104,635,469,0,0,0,4055,2080,1975,3125,1819,1306,68,45,23,12195,6242,5953,6508,3424,3084
Prov. Jawa Barat,Kab. Bogor,Kec. Ciomas,020507,29559,15218,14341,631,330,301,1126,581,545,0,0,0,656,296,360,1694,754,940,0,0,0,1429,654,775,3534,2095,1439,0,0,0,14599,7555,7044,5890,2953,2937
Prov. Jawa Barat,Kab. Bogor,Kec. Parungpanjang,020530,29379,15532,13847,291,156,135,2179,1090,1089,0,0,0,404,219,185,639,397,242,0,0,0,2108,1044,1064,2931,1774,1157,89,55,34,15219,7872,7347,5519,2925,2594
Prov. Jawa Barat,Kab. Bogor,Kec. Parung,020524,29225,15422,13803,433,224,209,2118,1100,1018,0,0,0,456,259,197,738,441,297,0,0,0,3755,1894,1861,2939,1538,1401,0,0,0,11484,5977,5507,7302,3989,3313
Prov. Jawa Barat,Kab. Bogor,Kec. Ciseeng,020532,28188,14907,13281,624,291,333,1962,1008,954,0,0,0,384,208,176,1510,885,625,0,0,0,1850,869,981,2630,1558,1072,0,0,0,14152,7313,6839,5076,2775,2301
Prov. Jawa Barat,Kab. Bogor,Kec. Cisarua,020511,27881,14360,13521,276,160,116,1617,816,801,28,15,13,510,236,274,629,356,273,0,0,0,1346,570,776,4340,2318,2022,46,27,19,14058,7317,6741,5031,2545,2486
Prov. Jawa Barat,Kab. Bogor,Kec. Ciawi,020510,26467,13686,12781,427,220,207,1594,844,750,0,0,0,157,89,68,457,242,215,0,0,0,2640,1287,1353,2535,1412,1123,0,0,0,12164,6253,5911,6493,3339,3154
Prov. Jawa Barat,Kab. Bogor,Kec. Jasinga,020528,26447,13732,12715,349,191,158,2691,1352,1339,0,0,0,510,259,251,2227,1199,1028,0,0,0,1694,772,922,1400,855,545,0,0,0,12927,6713,6214,4649,2391,2258
Prov. Jawa Barat,Kab. Bogor,Kec. Tajurhalang,020537,26305,13947,12358,1111,565,546,995,523,472,0,0,0,106,52,54,1603,999,604,0,0,0,1465,699,766,3595,2059,1536,0,0,0,11258,5889,5369,6172,3161,3011
Prov. Jawa Barat,Kab. Bogor,Kec. Babakan Madang,020514,26233,13751,12482,497,253,244,1401,681,720,0,0,0,531,266,265,2242,1200,1042,0,0,0,1813,882,931,2248,1368,880,0,0,0,14242,7332,6910,3259,1769,1490
Prov. Jawa Barat,Kab. Bogor,Kec. Megamendung,020512,25145,13339,11806,157,79,78,1822,924,898,0,0,0,608,311,297,3060,1782,1278,0,0,0,1617,774,843,1203,723,480,0,0,0,11472,6003,5469,5206,2743,2463
Prov. Jawa Barat,Kab. Bogor,Kec. Cigombong,020538,24484,12489,11995,230,112,118,1280,648,632,0,0,0,323,155,168,324,187,137,0,0,0,3495,1702,1793,1747,965,782,0,0,0,11004,5619,5385,6081,3101,2980
Prov. Jawa Barat,Kab. Bogor,Kec. Caringin,020509,21518,11465,10053,210,119,91,1803,915,888,0,0,0,697,372,325,1131,621,510,0,0,0,1276,614,662,2397,1395,1002,0,0,0,9836,5167,4669,4168,2262,1906
Prov. Jawa Barat,Kab. Bogor,Kec. Tamansari,020531,21455,11222,10233,359,189,170,987,488,499,0,0,0,469,229,240,864,537,327,0,0,0,2026,1028,998,1063,539,524,0,0,0,11139,5714,5425,4548,2498,2050
Prov. Jawa Barat,Kab. Bogor,Kec. Nanggung,020501,21183,11331,9852,295,131,164,2041,1025,1016,0,0,0,246,134,112,4160,2345,1815,0,0,0,816,459,357,1240,750,490,0,0,0,9717,5034,4683,2668,1453,1215
Prov. Jawa Barat,Kab. Bogor,Kec. Dramaga,020506,20880,11012,9868,320,155,165,1109,567,542,10,4,6,102,52,50,940,612,328,0,0,0,1971,782,1189,1930,1332,598,0,0,0,10194,5301,4893,4304,2207,2097
Prov. Jawa Barat,Kab. Bogor,Kec. Tenjo,020529,20281,10589,9692,72,39,33,2237,1106,1131,0,0,0,106,54,52,1737,942,795,0,0,0,1587,776,811,1937,1105,832,0,0,0,8933,4563,4370,3672,2004,1668
Prov. Jawa Barat,Kab. Bogor,Kec. Leuwisadeng,020539,19413,10298,9115,90,51,39,1216,625,591,0,0,0,28,17,11,3324,1893,1431,0,0,0,1196,502,694,2726,1499,1227,0,0,0,6551,3410,3141,4282,2301,1981
Prov. Jawa Barat,Kab. Bogor,Kec. Cijeruk,020508,19010,9903,9107,152,76,76,1540,787,753,0,0,0,385,203,182,824,467,357,0,0,0,937,427,510,1395,779,616,0,0,0,10881,5575,5306,2896,1589,1307
Prov. Jawa Barat,Kab. Bogor,Kec. Sukamakmur,020515,15639,8493,7146,0,0,0,1436,699,737,0,0,0,271,136,135,1739,1156,583,0,0,0,1235,672,563,852,509,343,0,0,0,7661,3928,3733,2445,1393,1052
Prov. Jawa Barat,Kab. Bogor,Kec. Tenjolaya,020540,15202,7987,7215,332,184,148,1117,575,542,0,0,0,351,154,197,1838,996,842,0,0,0,1741,831,910,1771,1032,739,0,0,0,4799,2462,2337,3253,1753,1500
Prov. Jawa Barat,Kab. Bogor,Kec. Sukajaya,020534,14558,7638,6920,27,11,16,1631,852,779,0,0,0,374,183,191,2161,1158,1003,0,0,0,577,293,284,573,330,243,0,0,0,6672,3459,3213,2543,1352,1191
Prov. Jawa Barat,Kab. Bogor,Kec. Ranca Bungur,020535,14553,7542,7011,277,144,133,980,497,483,0,0,0,83,43,40,992,578,414,0,0,0,996,393,603,2282,1280,1002,0,0,0,6196,3193,3003,2747,1414,1333
Prov. Jawa Barat,Kab. Bogor,Kec. Tanjung Sari,020536,11270,5909,5361,87,45,42,924,474,450,0,0,0,201,98,103,913,569,344,0,0,0,1107,481,626,616,390,226,0,0,0,4896,2527,2369,2526,1325,1201
Prov. Jawa Barat,Kab. Bogor,Kec. Cariu,020516,9954,5210,4744,34,20,14,811,419,392,0,0,0,227,113,114,326,225,101,0,0,0,1017,329,688,1692,1082,610,0,0,0,4149,2113,2036,1698,909,789
Prov. Jawa Barat,Kab. Karawang,Kec. Karawang Barat,022133,52005,26566,25439,1837,932,905,216,121,95,0,0,0,1607,824,783,463,253,210,156,95,61,5235,2116,3119,9847,5541,4306,387,237,150,21055,10811,10244,11202,5636,5566
Prov. Jawa Barat,Kab. Karawang,Kec. Klari,022104,39768,20762,19006,2819,1428,1391,44,18,26,0,0,0,1777,914,863,347,216,131,0,0,0,2004,581,1423,4825,3112,1713,0,0,0,21069,10885,10184,6883,3608,3275
Prov. Jawa Barat,Kab. Karawang,Kec. Karawang Timur,022130,33651,17337,16314,2208,1103,1105,55,27,28,30,18,12,1355,702,653,679,448,231,0,0,0,2706,1075,1631,3532,2082,1450,0,0,0,18622,9544,9078,4464,2338,2126
Prov. Jawa Barat,Kab. Karawang,Kec. Teluk Jambe Timur,022129,29257,15040,14217,1971,995,976,285,139,146,57,38,19,1120,559,561,714,418,296,0,0,0,3126,1239,1887,1242,922,320,0,0,0,15793,8149,7644,4949,2581,2368
Prov. Jawa Barat,Kab. Karawang,Kec. Kotabaru,022125,28700,15230,13470,1001,513,488,103,44,59,0,0,0,1276,610,666,477,307,170,0,0,0,1554,547,1007,5445,3508,1937,0,0,0,13651,7016,6635,5193,2685,2508
Prov. Jawa Barat,Kab. Karawang,Kec. Cikampek,022105,25020,12617,12403,957,458,499,74,40,34,0,0,0,1154,588,566,655,407,248,0,0,0,2386,737,1649,2591,1521,1070,0,0,0,12659,6509,6150,4544,2357,2187
Prov. Jawa Barat,Kab. Karawang,Kec. Rengasdengklok,022115,22348,11668,10680,958,504,454,0,0,0,0,0,0,1707,834,873,76,46,30,0,0,0,0,0,0,4297,2436,1861,0,0,0,11380,5858,5522,3930,1990,1940
Prov. Jawa Barat,Kab. Karawang,Kec. Majalaya,022121,19329,9994,9335,1600,835,765,263,150,113,0,0,0,568,300,268,1883,994,889,0,0,0,721,275,446,1775,949,826,0,0,0,8973,4627,4346,3546,1864,1682
Prov. Jawa Barat,Kab. Karawang,Kec. Purwasari,022127,17032,9118,7914,1372,745,627,56,31,25,0,0,0,817,446,371,371,241,130,0,0,0,0,0,0,2284,1332,952,248,157,91,9118,4776,4342,2766,1390,1376
Prov. Jawa Barat,Kab. Karawang,Kec. Cilamaya Wetan,022126,16874,8828,8046,770,408,362,0,0,0,0,0,0,1166,589,577,526,341,185,0,0,0,1362,486,876,3496,2069,1427,0,0,0,6551,3416,3135,3003,1519,1484
Prov. Jawa Barat,Kab. Karawang,Kec. Batujaya,022119,16378,8412,7966,400,203,197,123,63,60,0,0,0,1360,696,664,1191,688,503,0,0,0,1498,504,994,2161,1251,910,76,46,30,6655,3438,3217,2914,1523,1391
Prov. Jawa Barat,Kab. Karawang,Kec. Jatisari,022107,15816,7850,7966,185,88,97,2,1,1,0,0,0,881,460,421,666,450,216,0,0,0,1445,540,905,1774,690,1084,0,0,0,8167,4248,3919,2696,1373,1323
Prov. Jawa Barat,Kab. Karawang,Kec. Telagasari,022110,15552,8137,7415,377,193,184,99,45,54,0,0,0,1051,536,515,634,398,236,0,0,0,1416,416,1000,2021,1443,578,0,0,0,6918,3579,3339,3036,1527,1509
Prov. Jawa Barat,Kab. Karawang,Kec. Pedes,022116,14151,7108,7043,293,145,148,25,13,12,0,0,0,1850,927,923,658,410,248,0,0,0,1337,432,905,478,313,165,0,0,0,7658,3925,3733,1852,943,909
Prov. Jawa Barat,Kab. Karawang,Kec. Tirtajaya,022118,13934,7205,6729,172,95,77,39,20,19,0,0,0,1132,557,575,938,506,432,0,0,0,747,332,415,1175,720,455,0,0,0,6743,3519,3224,2988,1456,1532
Prov. Jawa Barat,Kab. Karawang,Kec. Kutawaluya,022114,13157,6759,6398,278,143,135,32,15,17,0,0,0,1071,507,564,321,204,117,0,0,0,1347,436,911,2303,1407,896,0,0,0,4990,2611,2379,2815,1436,1379
Prov. Jawa Barat,Kab. Karawang,Kec. Tempuran,022113,13004,6720,6284,199,102,97,209,119,90,0,0,0,1642,860,782,631,398,233,0,0,0,1152,466,686,879,558,321,0,0,0,5770,2962,2808,2522,1255,1267
Prov. Jawa Barat,Kab. Karawang,Kec. Jayakerta,022122,12944,6747,6197,247,127,120,220,98,122,0,0,0,1448,726,722,926,561,365,0,0,0,168,84,84,1531,846,685,0,0,0,5872,2983,2889,2532,1322,1210
